City,Name,Latitude,Longitude,Store Number,Street Combined,Postal Code,Country Subdivision,Country,Ownership Type,nearest_store_number,nearest_store_distance_km
Ft. Smith,Target Forth Smith T-2284,35.338348388671875,-94.38926696777344,76995-129147,4001 Phoenix Ave,729036099,AR,US,LS,7969-94774,3.3
Yukon,Target Yukon T-2460,35.48208236694336,-97.76038360595703,76988-137291,1700 Garth Brooks Blvd,730996387,OK,US,LS,11146-103004,0.3
Pleasant Prairie,Target Kenosha T-2251,42.52383041381836,-87.90788269042969,76996-106136,9777 76th St,531581990,WI,US,LS,25251-239450,4.8
Goodyear,SuperTarget Goodyear West ST-2400,33.45893859863281,-112.39546203613281,76968-129328,995 South Cotton Lane,853384604,AZ,US,LS,74446-86460,0.8
Palo Alto,University & Waverly,37.44673538208008,-122.16053009033203,565-142644,376 University Avenue,943011715,CA,US,CO,2822-72864,1.1
Menifee,Super Target Menifee ST-2471,33.68003463745117,-117.1753921508789,76971-136441,30340 Haun Rd,925846806,CA,US,LS,14488-107911,0.5
Visalia,Target Visalia North T-2469,36.36054611206055,-119.29683685302734,76984-136846,3308 N Dinuba Blvd,932918718,CA,US,LS,5400-1180,3.4
Hesperia,Super Target Hesperia ST-2468,34.426475524902344,-117.38510131835938,76970-136440,12795 Main St,923459110,CA,US,LS,9454-95104,0.8
San Diego,Target San Diego/Balboa T-2465,32.821929931640625,-117.17908477783203,76964-102974,5454 Balboa Ave,921112702,CA,US,LS,5220-439,0.3
Long Beach,Target Long Beach NW T-2424,33.877281188964844,-118.1659927368164,76983-136851,6750 Cherry Ave,908051717,CA,US,LS,5842-20739,1.1
Indio,Super Target Indio ST-2441,33.74055099487305,-116.21669006347656,76969-136439,42625 Jackson St,922039737,CA,US,LS,16347-123205,0.1
Porterville,Target Porterville T-2420,36.079280853271484,-119.04095458984375,76331-136845,1363 W Henderson Ave,932571456,CA,US,LS,6523-64099,0.5
Hawthorne,Target Hawthorne T-2280,33.9221076965332,-118.32144927978516,76944-131626,2700 120th St,902503388,CA,US,LS,3425-85640,0.5
San Pedro,Target San Pedro T-2470,33.76044845581055,-118.29330444335938,76985-136849,1701 N Gaffey St,90731,CA,US,LS,6431-37099,1.7
Aurora,Target Aurora South T-2458,39.59389877319336,-104.67369842529297,76981-136642,15700 E Briarwood Cir,800161558,CO,US,LS,19889-91824,1.6
Orlando,Super Target Orlando Sodo ST-2376,28.51546859741211,-81.38053131103516,76945-136622,120 W Grant St,328063932,FL,US,LS,8375-13260,0.4
Sandy Springs,Target Sandy Springs Prado T-2333,33.907840728759766,-84.37887573242188,70062-136744,5610 Roswell Rd,303421102,GA,US,LS,13880-107832,0.2
Alpharetta,Super Target Roswell East ST-2443,34.001609802246094,-84.28597259521484,76972-136745,2600 Holcomb Bridge Rd,300225305,GA,US,LS,8449-36141,2.3
Trumbull,Target Trumbull West T-2361,41.230712890625,-73.2270278930664,76967-137802,5065 Main St,066114204,CT,US,LS,28525-249883,0.6
Southington,Target Southington T-2434,41.61101531982422,-72.90186309814453,76990-137600,600 Executive Blvd,064896008,CT,US,LS,8645-94463,3.4
Dayville,Target Killingly T-2432,41.849300384521484,-71.92060089111328,76958-138444,2177 Killingly Commons,062412188,CT,US,LS,19256-195070,24.0
Racine,South Greenbay & Timber,42.69876480102539,-87.8531494140625,14685-125887,2805 South Greenbay Rd.,534064951,WI,US,CO,2959-83395,2.3
Marietta,Church St & Vann St,33.97180938720703,-84.55128479003906,13879-112244,811 Church St,300607229,GA,US,CO,18951-192490,2.1
Chicago,Target Chicago Morgan Park T-2344,41.67930221557617,-87.66474914550781,76992-127268,11840 S Marshfield Ave,606434902,IL,US,LS,10905-103133,3.1
Annapolis,Target Annapolis T-2271,38.9911003112793,-76.54750061035156,76946-136668,1911 Towne Centre Blvd,214013020,MD,US,LS,28438-249799,0.1
Brandywine,Target Brandywine T-2394,38.668006896972656,-76.87584686279297,76956-136669,15922 S Crain Hwy,206138047,MD,US,LS,3511-144544,0.2
Stoughton,Target Stoughton T-2258,42.1524772644043,-71.07304382324219,76965-136618,1 Hawes Way,020721162,MA,US,LS,7639-10915,6.3
Bloomfield Township,Target Bloomfield Township T-2178,42.60343933105469,-83.29337310791016,76955-100162,2400 S Telegraph Rd,483020255,MI,US,LS,23158-224025,0.5
Macomb,Target Macomb Township T-2113,42.630821228027344,-82.91212463378906,76994-98087,20877 Hall Rd,480444256,MI,US,LS,24574-236870,0.2
Sparks,Target Sparks South T-2472,39.53364181518555,-119.7191162109375,76982-136614,1550 E Lincoln Way,894348989,NV,US,LS,6701-74985,0.9
Sewell,Target Mantua T-2384,39.7667121887207,-75.13367462158203,76991-129487,675 Woodbury Glassboro Rd,080803733,NJ,US,LS,9802-97755,5.2
Hackettstown,Target Washington Township T-2446,40.84504699707031,-74.81129455566406,76977-136629,68 US Highway 46 W,078404978,NJ,US,LS,19242-195985,3.4
Plattsburg,Target Plattsburgh T-2459,44.70376968383789,-73.49266052246094,76962-137529,60 Smithfield Blvd,129012104,NY,US,LS,10610-101308,1.1
Amsterdam,Target Amsterdam T-2461,42.96461486816406,-74.19066619873047,70085-136616,4930 State Hwy 30,120107520,NY,US,LS,75713-95585,13.3
Temple,Target Muhlengerg Township T-2302,40.39726638793945,-75.92790222167969,76997-137359,4220 N 5th St Hwy,195601738,PA,US,LS,9537-95934,7.6
Selinsgrove,Target Selinsgrove T-2439,40.841548919677734,-76.83648681640625,76986-137358,501 Market Place Blvd,178702407,PA,US,LS,14063-107545,0.5
Richmond,Target Richmond East T-2436,37.52701950073242,-77.35585021972656,76976-136632,4521 S Laburnam Ave,232312421,VA,US,LS,72927-96591,5.8
Puyallup,Target Puyallup T-2136,47.113182067871094,-122.29173278808594,76993-99506,10302 156th St E,983749321,WA,US,LS,79305-93992,1.7
Wasilla,Target Wasilla T-2339,61.576358795166016,-149.4072723388672,76916-131305,1801 E Parks Hwy,996547350,AK,US,LS,17912-136436,0.1
Anchorage,Target Anchorage NE T-2371,61.231143951416016,-149.74151611328125,76943-129964,"1200 N Muldoon Rd, Suite F",995046105,AK,US,LS,17941-159568,0.3
Farragut,"Kroger-Farragut, TN #686",35.875701904296875,-84.17500305175781,73972-107551,189 Brooklawn Street,379342875,TN,US,LS,72657-64919,3.4
Fort Wayne,Target Fort Wayne SW T-2440,41.076904296875,-85.20235443115234,76957-136641,1102 S Thomas Rd,468041144,IN,US,LS,2526-27309,0.8
League City,I 45 & 646,29.469844818115234,-95.0927505493164,13662-101856,"2810 Gulf Freeway South, A",775736825,TX,US,CO,76870-121287,0.9
Austin,Target Austin Arboretum T-2409,30.39310073852539,-97.74430847167969,76987-137286,10107 Research Blvd,787595803,TX,US,LS,6203-98957,0.8
San Antonio,Target Park North T-2467,29.519411087036133,-98.50484466552734,76989-137292,746 NW Loop 410,782165609,TX,US,LS,28440-249829,0.6
Pflugerville,FM 1825 & Central Commerce,30.449024200439453,-97.65544128417969,14446-117510,"2604 W Pecan Street, B",78660,TX,US,CO,6363-165204,3.8
Houston,Super Target Houston Far West ST-24,29.73290252685547,-95.62486267089844,76973-137484,2700 Eldridge Pkwy,770826870,TX,US,LS,11562-100436,1.5
Otsego,Super Target Otsego ST-2456,45.27796173095703,-93.56334686279297,76975-136638,15800 87th St NE,553306546,MN,US,LS,20689-206848,4.3
Waconia,Target Waconia T-2449,44.84980392456055,-93.77374267578125,76979-136639,875 E Main St,553871081,MN,US,LS,72649-48359,13.9
Derby,Target Derby T-2448,37.71978759765625,-97.24449920654297,76978-136645,2024 North Rock Rd,670373752,KS,US,LS,79352-103144,0.5
Rapid City,Target Rapid City T-2457,44.08399963378906,-103.21329498291016,76980-136634,1415 Elgin St,577019504,SD,US,LS,24089-231432,1.7
Riverside,"Van Buren & King, Riverside",33.882896423339844,-117.36955261230469,11463-103816,"16810 Van Buren Blvd., 101",925045769,CA,US,CO,6864-80841,3.7
Conway,Univ. Central Arkansas,35.07939529418945,-92.45433807373047,70039-116729,201 Donaghey Ave.,720355001,AR,US,LS,9810-98145,3.5
Norfolk,Target Norfolk T-856,42.02001190185547,-97.42987823486328,76520-99153,1510 Market Ln,687017361,NE,US,LS,79294-94922,64.9
Norman,University of Oklahoma - Student Un,35.20841979980469,-97.44356536865234,70052-116984,900 Asp Ave.,730194042,OK,US,LS,11884-105594,0.3
North Hollywood,Sherman Way & Whitsett,34.20093536376953,-118.40798950195312,13365-107349,12520 Sherman Way,916055236,CA,US,CO,5839-26187,1.7
Cathedral City,Vista Chino & Landau,33.84518814086914,-116.47772979736328,11829-105648,"67870 Vista Chino, #101",922343536,CA,US,CO,5595-1913,3.7
Norco,Hidden Valley & The 15 Fwy,33.90016555786133,-117.55859375,11596-104820,455 Hidden Valley Parkway,928603972,CA,US,CO,76197-92524,0.4
Mecca,"Highway 86 & 66th Avenue, Mecca",33.569854736328125,-116.09104919433594,11592-104405,90496 66th Avenue,922546228,CA,US,CO,10221-99464,18.5
Washington,Safeway - Washington #693,38.917236328125,-77.09605407714844,3716-145344,4865 MacArthur Blvd NW,200071577,DC,US,LS,7350-780,1.2
Thatcher,Safeway-Thatcher #2648,32.83768081665039,-109.73538208007812,79759-136613,2125 W US-70,855525446,AZ,US,LS,22982-217348,44.9
Phoenix,Safeway-Phoenix #236,33.63876724243164,-112.29199981689453,79767-136609,10926 W Bell Rd,85373,AZ,US,LS,10094-99046,1.4
Cullowhee,Western Carolina University -Center,35.30982971191406,-83.18359375,75441-106538,517 Centennial Drive,28723,NC,US,LS,18447-186744,23.1
Rockville,Harris Teeter - North Bethesda #328,39.04983901977539,-77.10995483398438,73960-116686,11845 Old Georgetown  Rd,208528602,MD,US,LS,7593-19240,0.4
Toppenish,Safeway - Toppenish #584,46.37612533569336,-120.32120513916016,79688-101068,711 First Ave,98948,WA,US,LS,79729-125946,24.4
Bourbonnais,Bourbonnais-Main & Latham,41.15823745727539,-87.88587951660156,14413-121824,532 Main Street,609142306,IL,US,CO,76184-88407,3.2
Marietta,Johnson Ferry & Woodlawn,33.97844314575195,-84.41932678222656,8260-140210,1207 Johnson Ferry Road,300682722,GA,US,CO,76834-99485,1.1
Washington,Safeway-Washington #2737,38.90354537963867,-77.01768493652344,79779-121145,490 L St. NW,200012545,DC,US,LS,75751-79593,0.5
Mesquite,Tom Thumb - Mesquite #1784,32.746238708496094,-96.58586120605469,79776-125811,1501 Poineer Rd,751496032,TX,US,LS,5093-147309,7.9
Manteca,Union & Yosemite - Manteca,37.79661560058594,-121.23531341552734,11830-105519,"129 S. Union Road, Union Square",953375291,CA,US,CO,13398-97069,2.0
Las Vegas,LAS D 52,36.080604553222656,-115.13975524902344,70048-128584,5757 Paradise Road,89119,NV,US,LS,75731-94415,0.2
Saratoga,Safeway - Saratoga #919,37.2808723449707,-122.03148651123047,79742-133465,12876 Saratoga-Sunnyvale,950704221,CA,US,LS,5417-1064,0.1
Escondido,Albertsons -- Escondido #6705,33.108863830566406,-117.1056900024414,73686-126967,1570 W Valley Parkway,920292140,CA,US,LS,652-306,0.6
Sunrise,NW 136th Ave & I-595,26.12118148803711,-80.3306655883789,13240-106100,101 NW 136TH Ave,333252643,FL,US,CO,76106-85289,2.8
Woodland,"1999 Pacific Ave- Woodland, WA",45.91334915161133,-122.74833679199219,13917-96519,1999 Pacific Ave,986748601,WA,US,CO,74764-103813,0.1
South Dennis,Stop & Shop-South Dennis #461,41.71049880981445,-70.15660095214844,73943-98784,500 Rte 134,026603707,MA,US,LS,73778-97542,11.4
Massapequa,Sunrise Mall,40.68280029296875,-73.43451690673828,14217-117928,"9165 Sunrise Mall, Sunrise Mall",117584370,NY,US,CO,20102-145447,2.5
Houston,I 45 & Rowlett,29.63163185119629,-95.23406219482422,14307-114144,11404 Gulf Freeway,770343549,TX,US,CO,72765-78321,3.8
Texas City,FM 1764 & Hwy 146,29.39576530456543,-94.9489517211914,14501-114145,3480 Palmer Hwy,775906512,TX,US,CO,18377-178325,11.2
The Woodlands,Woodlands Pkwy & FM 2978,30.190223693847656,-95.58621215820312,13988-110295,9955 Woodlands Pkwy,773822926,TX,US,CO,10654-101323,0.0
Pensacola,Nine Mile & Pine Forest,30.534835815429688,-87.31362915039062,13876-108432,"2200 W. Nine Mile Rd., Unit B",325349415,FL,US,CO,13466-106745,8.3
North Conway,"N. Conway, White Mountain Hwy",44.019317626953125,-71.11590576171875,13715-106254,"1456 White Mountain Hwy, Unit D10",038605144,NH,US,CO,75938-105931,64.7
San Carlos,Industrial & Howard,37.502079010009766,-122.24638366699219,14608-126527,"1135 Industrial Rd., A, San Carlos Marketplace",940704162,CA,US,CO,10717-101862,1.0
Mesa,"Power & Broadway, Mesa",33.4090576171875,-111.68511962890625,14378-111373,"344 S. Power Road, #101",852065219,AZ,US,CO,20665-204611,2.2
Phoenix,"19th Ave. & Baseline, Phoenix",33.378971099853516,-112.10176849365234,14593-112345,"2020 W. Baseline Rd, #174",850416573,AZ,US,CO,79515-96792,5.1
Aurora,Kirk & Butterfield,41.814823150634766,-88.28041076660156,10825-102904,2948 Kirk Rd.,605026008,IL,US,CO,8952-95285,1.6
Romeoville,Romeoville-Weber & Airport,41.61099624633789,-88.12255096435547,13617-106904,377 S. Weber Rd.,604466530,IL,US,CO,76848-111384,0.1
New York,118th & Frederick Douglas Blvd.,40.80591583251953,-73.95449829101562,14441-122925,2195 Frederick Douglas Boulevard,100260982,NY,US,CO,14601-126966,0.6
Kitty Hawk,Kitty Hawk,36.09834671020508,-75.72457885742188,13258-105758,"5597-A North Croatan Highway, Marketplace at Southern Shores",279494090,NC,US,CO,22588-195826,13.5
Fresno,CSU/Fresno - Corner Univ Ctr,36.809661865234375,-119.74642181396484,70380-92062,5150 N Maple Ave,937400057,CA,US,LS,7979-95706,0.6
Wayne,Paterson-Hamburg Tpke - Wayne,40.94471740722656,-74.20492553710938,14185-112429,183 Hamburg Turnpike,074702114,NJ,US,CO,7280-225285,3.5
Oakland,Oakland,41.026763916015625,-74.23975372314453,14497-116306,411 Rampo Valley Rd,074362707,NJ,US,CO,11928-104892,4.3
Napa,Jefferson & Lincoln,38.30873489379883,-122.29545593261719,9595-107359,1200 Lincoln Avenue,945584917,CA,US,CO,17602-86221,1.4
Tucson,Safeway - Tucson #1874,32.190059661865234,-110.85696411132812,79671-113975,6360 E Golf Links,857301058,AZ,US,LS,8104-95249,2.1
Phoenix,Aramark - ASU Taylor Place,33.453529357910156,-112.0727310180664,70064-138184,120 E Taylor Street,850044458,AZ,US,LS,5837-27007,0.4
Scottsdale,Camelback Inn-Scottsdale,33.531124114990234,-111.96493530273438,70008-125884,5402 E Lincoln Dr,852534118,AZ,US,LS,5496-1419,3.8
Gunnison,City Market-Gunnison #419,38.55331802368164,-106.92581176757812,73871-126744,880 N Main,812302414,CO,US,LS,75581-73361,71.1
Boulder,King Soopers - Boulder #33,39.9835205078125,-105.25167846679688,73898-102078,3600 Table Mesa Drive,803055800,CO,US,LS,10857-103228,2.1
Macomb,Kroger-Macomb #684,42.64363098144531,-82.90149688720703,73886-119745,21555 21 Mile Rd,480442961,MI,US,LS,76994-98087,1.7
Redding,Bonnyview & Eastside - Redding,40.53022766113281,-122.38129425048828,13399-103343,"2400 S. Bonnyview Rd., 100",960014543,CA,US,CO,74338-116385,5.0
Bethlehem,Bethlehem,40.656532287597656,-75.41815185546875,11546-104019,3209 Schoenersville Road,180172103,PA,US,CO,3874-137944,2.4
Charlotte,Harris Teeter-Charlotte # 317,35.02301025390625,-80.84819793701172,73918-103375,16625 Lancaster Hwy,282772038,NC,US,LS,17807-165784,3.2
Mooresville,Harris Teeter-Mooresville #99,35.58600616455078,-80.87582397460938,73916-103336,134 Town Center Drive,281179158,NC,US,LS,8765-202507,1.4
Rochester,Doubletree Hotel Rochester Downtown,44.021968841552734,-92.46282196044922,70009-126633,150 S Broadway,559046507,MN,US,LS,75560-62499,0.3
Long Beach,Von's - Long Beach #2280,33.7597770690918,-118.14713287353516,79747-136393,3900 E OCEAN AVENUE,908032817,CA,US,LS,579-301,1.2
San Francisco,Owens & 16th,37.76706314086914,-122.39366149902344,14311-115765,1700 Owens Street,941580002,CA,US,CO,25428-240965,0.6
El Cajon,Target Rancho San Diego T-1140,32.738677978515625,-116.93893432617188,76952-131632,2911 Jamacha Rd,920194342,CA,US,LS,8906-95341,0.3
Citrus Heights,Target Birdcage Citrus Heights T-11,38.67289733886719,-121.2741470336914,76900-129846,5837 Sunrise Blvd,956106866,CA,US,LS,5407-1175,0.2
Brighton,King Soopers-Brighton #81,39.97044372558594,-104.81622314453125,73956-124170,500 E Bromley Ln,806015505,CO,US,LS,6407-40379,0.1
Saint Petersburg,Park & Sheen,27.81616973876953,-82.75445556640625,14315-115145,4850 Park St.,337092226,FL,US,CO,76753-108139,0.5
Jacksonville,JAX Post Sec Food Court,30.493276596069336,-81.68113708496094,70020-135152,2400 Yankee Clipper Drive,322182492,FL,US,LS,70087-139384,0.0
Mashpee,Roche Bros - Mashpee #117,41.6136589050293,-70.4892349243164,73958-137652,11 Donnas Lane,02649,MA,US,LS,7250-760,0.4
Jamaica,JFK T7 Gate 7,40.64845657348633,-73.7823715209961,70026-105310,"NY JFK International Airport, Terminal 7, Gate 7",11430,NY,US,LS,70059-105309,0.0
Allentown,PA Allentown Plaza,40.573001861572266,-75.58849334716797,78015-112584,PA turnpiek MM 55.9,18106,PA,US,LS,13542-107034,4.3
Austin,Randall's-Austin #2485,30.229427337646484,-97.79010009765625,79731-130864,2025 W Ben White Blvd,787047518,TX,US,LS,6388-25494,0.9
Houston,Marriott Houston Medical Center,29.710182189941406,-95.4009780883789,78035-102019,6580 Fannin St.,770302796,TX,US,LS,6499-56359,0.0
Wichita,Dillon Food Store-Wichita #49,37.723777770996094,-97.46110534667969,73727-74237,10222 W 21st St,672051836,KS,US,LS,2674-72480,0.2
Virginia Beach,Landstown Commons,36.7756462097168,-76.0879135131836,14418-115024,"3376 Princess Anne Rd, Suite 209, Landstown",234562619,VA,US,CO,22591-221947,2.2
Auburn,Auburn Way & 15th- Auburn,47.321075439453125,-122.22069549560547,13506-94475,1420 Harvey Rd. NE,980023308,WA,US,CO,3369-57519,0.7
Houston,Ella & 43rd,29.82857322692871,-95.43048095703125,13390-104132,1206 West 43rd Street,770184204,TX,US,CO,20490-189289,2.4
Melbourne,Eau Gallie & US 1,28.128681182861328,-80.63058471679688,14075-108596,1330 North Harbor City Blvd,329357023,FL,US,CO,11717-105155,5.2
Homestead,US 1 & SW 312th St,25.480926513671875,-80.46353149414062,9702-95196,"1029 North Homestead Blvd, Homestead Towne Square",330305028,FL,US,CO,13939-108784,3.8
Oakland,Safeway-Oakland #908,37.80119323730469,-122.21564483642578,79744-125805,3550 Fruitvale Ave,946022327,CA,US,LS,5281-120,2.7
Malibu,Vons - Malibu #2813,34.02075958251953,-118.81004333496094,79683-108474,29211 Heather Cliff Rd,902654145,CA,US,LS,5562-1689,3.3
Salida,Safeway-Salida #2817,38.536033630371094,-105.99453735351562,79746-124168,232 G St,812012019,CO,US,LS,27006-108203,67.8
Long Beach,Stop & Shop - Long Beach #2582,40.58445739746094,-73.65827941894531,73937-135227,85 E Park Ave,11561,NY,US,LS,7425-1903,0.9
Oakwood,Kroger-Flowery Branch #632,34.19623947143555,-83.85889434814453,73973-132044,4025 Winder Hwy,305423022,GA,US,LS,76885-121748,5.3
Nipomo,"Tefft & Mary, Nipomo",35.035484313964844,-120.48616790771484,8829-94867,581 W. Tefft Street,934448949,CA,US,CO,74598-87920,0.1
Auburn,Auburn University - Auburn AL - stu,32.60100173950195,-85.48809814453125,78065-105597,"Quad Center, 255 Duncan Dr",36849,AL,US,LS,22803-218127,0.9
Bothell,Safeway - 535 Thrasher's Corner,47.80996322631836,-122.20592498779297,79773-100331,20711 Bothell Everett Hwy,980127139,WA,US,LS,3295-2805,0.1
Ephrata,Safeway - Ephrata  #1544,47.3098258972168,-119.55838012695312,79774-139752,1150 Basin St NW,988239603,WA,US,LS,9852-98064,28.2
Garland,Tom Thumb - Garland #2578,32.937469482421875,-96.60520935058594,79756-132344,2535 Firewheel Pkwy,75040,TX,US,LS,9932-98929,2.4
Modesto,Yosemite & Claus - Modesto,37.63852310180664,-120.92481231689453,13935-108365,"3801 Yosemite Blvd, Ste 4, Creekwood Plaza Shopping Center",953570501,CA,US,CO,5313-219484,3.3
Bakersfield,Target Bakersfield West T-2715,35.34909439086914,-119.12373352050781,5117-147866,11000 Stockdale Hwy,933113635,CA,US,LS,5462-1336,2.1
Portland,Target Portland NE T-2523,45.575862884521484,-122.56537628173828,5109-148124,9401 NE Cascades Pkwy,972206824,OR,US,LS,11544-103918,0.7
Lafayette,Amb. Caffery Pkwy & Settlers Trace,30.160375595092773,-92.05332946777344,14213-112325,4300 Ambassador Caffery Pkwy,705086704,LA,US,CO,72688-76609,0.4
Philadelphia,Red Lion & Roosevelt,40.09523391723633,-75.01549530029297,14387-112466,10000 Roosevelt Blvd,191163904,PA,US,CO,3986-146344,1.0
Tacoma,Safeway-Tacoma #486,47.22164535522461,-122.53910827636719,74960-90744,3842 Bridgeport Way W.,984664427,WA,US,LS,342-98553,0.1
Grand Prairie,Tom Thumb-Grand Prairie #1786,32.67097473144531,-97.00353240966797,79777-125809,4215 S Carrier Pkwy,750523203,TX,US,LS,6315-7008,1.1
Cherry Hill,Target Cherry Hill T-1085,39.93476104736328,-75.02558898925781,76948-129486,2137 SR-38,08002,NJ,US,LS,7895-81093,0.4
Puyallup,Safeway #3228 - Puyallup,47.0959587097168,-122.35469818115234,79757-104110,5616 176th E,983759309,WA,US,LS,11664-103729,0.0
Novato,Safeway - Novato #2828,38.06232833862305,-122.53314208984375,79771-133426,5720 Nave Drive,949496210,CA,US,LS,15582-156026,3.7
Indianapolis,Hyatt Regency-Indianapolis-Lobby,39.76681137084961,-86.16044616699219,75958-101096,1 S Capitol Ave,462042728,IN,US,LS,28530-249948,0.1
South Lebanon,Target South Lebanon T-2486,39.38119888305664,-84.21270751953125,70352-138225,400 Corwin Nixon Blvd,450651196,OH,US,LS,21375-209485,0.8
Reynoldsburg,Target Reynoldsburg T-2450,39.93580627441406,-82.79238891601562,70351-141552,2437 Tylor Park Drive,43068,OH,US,LS,20129-174985,0.9
Houston,Target Houston South T2494,29.60080909729004,-95.26606750488281,70359-139514,8503 S Sam Houston East Parkway,770754857,TX,US,LS,20143-186531,0.2
San Antonio,Target San Antonio Far East T- 2452,29.48598861694336,-98.34569549560547,70362-139488,7014 FM 78,782441758,TX,US,LS,17690-175744,2.6
Allen,Target Allen North T-2516,33.123355865478516,-96.66136169433594,70358-139509,150 E Stacy Road Bldg 2400,750028756,TX,US,LS,72562-100224,1.3
Leander,US 183 & Crystal Falls Pkwy,30.55642318725586,-97.84396362304688,14815-128424,"1805 S US Hwy 183, 100",78641,TX,US,CO,76811-110962,4.3
San Marcos,Target San Marcos T-2438,29.903099060058594,-97.95099639892578,70363-139485,700 Barnes Dr,786666187,TX,US,LS,70051-110947,2.2
Lewisville,Target Lewisville T-2520,33.066097259521484,-96.88667297363281,70360-139508,4760 State Highway 121,750562913,TX,US,LS,25985-237678,0.2
Pflugerville,Target Pflugerville T 2495,30.4670467376709,-97.59819030761719,70361-139487,18700 Limestone Commercial Dr,786606544,TX,US,LS,14099-108265,1.3
Queen Creek,"Hunt & Gary, Queen Creek",33.179176330566406,-111.5849380493164,14225-108521,"1757 West Hunt Hwy, Bldg D",85143,AZ,US,CO,73702-106030,3.0
Menifee,"Haun & Newport, Menifee",33.68427658081055,-117.17510986328125,14488-107911,"30010 Haun Road, #260",925846812,CA,US,CO,76971-136441,0.5
Atlanta,Monroe Dr & 8th St,33.7802619934082,-84.36881256103516,14135-113652,931 Monroe Dr,303081793,GA,US,CO,17523-167884,0.8
West Haven,"West Haven, Saw Mill Road",41.271305084228516,-72.97238159179688,14745-119504,354 Saw Mill Road,065164015,CT,US,CO,73804-101784,1.3
Ft. Worth,Omni Hotel & Convention Center,32.74939727783203,-97.3287582397461,78013-105591,1300 Houston St,761026556,TX,US,LS,70307-128884,0.3
Davis,UC Davis Activities and Recreation,38.54059982299805,-121.74816131591797,70081-117584,1 Shields Ave,95616,CA,US,LS,16014-156023,0.4
Thompsons Station,"Kroger-Thompson Station, TN #588",35.78361511230469,-86.9148941040039,3055-142044,4726 Traders Way,371795366,TN,US,LS,13987-114864,0.4
Miami,Marriott Miami Airport,25.783754348754883,-80.26312255859375,75909-101176,1201 NW LeJune Road,331362315,FL,US,LS,17121-177164,1.1
Gaylord,Glen's Fresh Market-Gaylord,45.027374267578125,-84.68523406982422,1554-135284,829 W Main St,497351998,MI,US,LS,22714-222788,33.6
Yuma,Arizona Western College,32.629798889160156,-114.4948959350586,3044-141386,2020 South Ave 8E,853656900,AZ,US,LS,18819-184204,6.8
Nashville,BNA Presecurity,36.13072204589844,-86.66928100585938,70337-125287,"One Terminal Drive, Suite 325",372144110,TN,US,LS,78049-125290,0.5
Cookeville,Tennessee Tech University,36.17451858520508,-85.5040512084961,70334-135770,1000 North Dixie,38505,TN,US,LS,10616-101627,4.0
San Antonio,I-35 & SW Military,29.357053756713867,-98.52460479736328,14717-124606,"1935 SW Military, Suite 105",782211434,TX,US,CO,76321-96285,1.8
Rogers,Target Rogers T-2498,36.299354553222656,-94.17265319824219,70343-138924,2404 Promenade Blvd,727589080,AR,US,LS,18208-176368,1.6
Council Bluffs,Target Council Bluffs T-2454,41.2535514831543,-95.88095092773438,70347-138925,3804 Metro Dr,515017732,IA,US,LS,9609-97425,4.6
Broken Arrow,Target Broken Arrow T-2422,36.070098876953125,-95.78950500488281,70354-139507,1150 E Hillside Dr,740122386,OK,US,LS,24934-239193,0.9
Sun Prairie,Target Sun Prairie T-2491,43.16952896118164,-89.26641082763672,70365-138021,660 South Grand Avenue,535909832,WI,US,LS,19808-202245,0.4
Santa Clarita,Target Santa Clarita T-2030,34.44820022583008,-118.42140197753906,70331-90574,19105 Golden Valley Rd,913871428,CA,US,LS,20489-206264,2.4
Kissimmee,Target Orlando SW Disney T-2370,28.33139991760254,-81.61940002441406,70344-139287,3200 Rolling Oaks Blvd,347473052,FL,US,LS,26456-222744,4.0
Pensacola,Target Pensacola West T-2445,30.362577438354492,-87.35936737060547,70333-138008,2950 South Blue Angel Parkway,325066905,FL,US,LS,75399-103763,8.1
Canton,Super Target 2476 @ Canton,34.237464904785156,-84.45792388916016,70345-137983,2022 Cumming Way,301148071,GA,US,LS,18730-112871,0.1
Bethlehem,Target 2493 @  Winder,33.945213317871094,-83.75535583496094,70346-137984,916 Loganville Hwy Bldg 400,306202144,GA,US,LS,15029-152664,15.4
Kapolei,Target Oahu Kapolei T-2411,21.331979751586914,-158.09219360351562,76999-131728,4450 Kapolei Pkwy,967071889,HI,US,LS,21062-99872,0.7
Honolulu,Target Oahu Honolulu West T-2410,21.35582733154297,-157.9286651611328,76998-131727,4510 Salt Lake Blvd Ste D5,968183172,HI,US,LS,21053-99755,1.2
Hillside,Target Hillside T-2490,41.86686325073242,-87.88300323486328,70348-138020,130 S Mannheim Rd,601621821,IL,US,LS,75298-99911,2.9
North Las Vegas,Target N.L.V. Deer Springs T-2497,36.285560607910156,-115.1349105834961,70350-138185,7090 N 5th St,890841333,NV,US,LS,79304-97581,1.8
Paramus,Target Paramus T-2381,40.91639709472656,-74.06134033203125,70349-137946,900 Bergen Town Center,076525005,NJ,US,LS,2973-7147,0.6
Philadelphia,Target Phila-Cottman T-2418,40.04990005493164,-75.05807495117188,70355-137947,7400 Bustleton Avenue,191524312,PA,US,LS,11068-102664,4.8
Exton,Target Uwchlan Township T-2496,40.052955627441406,-75.66494750976562,70356-137948,180 Eagleview Boulevard,193413012,PA,US,LS,7830-77000,1.5
