City,Name,Latitude,Longitude,Store Number,Street Combined,Postal Code,Country Subdivision,Country,Ownership Type,nearest_store_number,nearest_store_distance_km
Salt Lake City,Marriott University Park - Salt Lak,40.75828170776367,-111.82977294921875,19368-186950,480 Wakara Wy.,84108,UT,US,LS,27984-236506,1.6
Gurnee,Macys Gurnee Mills,42.3837890625,-87.95640563964844,19827-177044,6124 W Grand Avenue,600314592,IL,US,LS,2262-1299,0.6
La Jolla,Ralphs La Jolla #108,32.86578369140625,-117.2334976196289,18448-179565,8657 Villa La Jolla Dr,92037,CA,US,LS,644-361,0.2
Johnston,"Hy-Vee @ Johnston, IA",41.66439437866211,-93.69769287109375,20158-202944,5750 Merle Hay Road,50131,IA,US,LS,9558-96981,3.4
San Ramon,Chevron USA Headquarters Lobby,37.761375427246094,-121.9599838256836,20924-197444,6001 Bollinger Canyon Rd,94583,CA,US,LS,76208-89721,0.3
Frisco,"Kroger-Frisco, TX #561",33.16687774658203,-96.73823547363281,19785-201747,12221 Custer Road,75035,TX,US,LS,13818-107963,0.8
Oxford,Kroger @ Oxford #412,39.5074348449707,-84.74942779541016,20078-194451,300 S Locust St,45056,OH,US,LS,2588-51399,0.7
Bellevue,Kelsey Creek - Bellevue,47.609012603759766,-122.13999938964844,3309-155508,180 148th Ave NE,98007,WA,US,CO,390-2160,1.2
New Albany,New Albany - Wesley Commons,38.307281494140625,-85.84136199951172,19563-193164,2220 State Street,47150,IN,US,CO,79287-99892,0.3
Chicago,Erie & Saint Clair - Hyatt Hotel,41.89399719238281,-87.62245178222656,19549-197684,633 North Saint Clair Street,60611,IL,US,CO,75645-74740,0.1
Burbank,Verdugo & Olive,34.16800308227539,-118.32194519042969,19692-201264,1520 West Olive Avenue,91506,CA,US,CO,569-511,0.9
Basalt,"HWY 82 & Willits Ln, Basalt",39.38764953613281,-107.08312225341797,19548-183944,719 E Valley Rd,81621,CO,US,CO,73754-103426,0.6
North Charleston,Tanger Outlet at Charleston,32.87379455566406,-80.01802825927734,19636-199726,"4840 Tanger Outlet Blvd, 902",29418,SC,US,CO,11202-100577,0.7
Sumter,Alice & Broad Street - Sumter,33.95701599121094,-80.38593292236328,19804-192444,"1259 Broad Street, Lowes Pad",29150,SC,US,CO,19469-199805,48.8
Charlotte,Harris Teeter-Charlotte/Ballantyne,35.05217742919922,-80.84953308105469,17807-165784,15007 John J. Delaney Dr.,28277,NC,US,LS,9362-49959,0.4
Portland,Target Portland T-2791,45.51984786987305,-122.6815185546875,19690-184986,939 SW Morrison,97205,OR,US,LS,19506-196586,0.1
Henderson,"Horizon & College, Henderson",36.012306213378906,-114.9638900756836,5965-174164,690 E. Horizon Dr,89015,NV,US,CO,74926-73901,2.7
Telluride,Hotel Madeline - Heritage Plaza Ret,37.93217468261719,-107.85222625732422,20645-195365,568 Mountain Village Blvd,81435,CO,US,LS,76854-111233,57.1
Lawton,Target Lawton T-2739,34.630123138427734,-98.49221801757812,17056-178330,2030 NW 82nd St,73505,OK,US,LS,10168-99962,4.6
Wylie,Kroger - Wylie #578,33.010921478271484,-96.57489776611328,18176-184744,2608 W FM 544,75098,TX,US,LS,22559-222044,0.2
Jackson Hole,Smith's - Jackson Hole #184,43.47968292236328,-110.753173828125,18274-101208,South Hwy 89 High School Rd,83001,WY,US,LS,19240-195904,0.7
Petaluma,Target Petaluma T-2601,38.243743896484375,-122.63086700439453,18925-100256,401 Kenilworth Dr,94952,CA,US,LS,17601-161370,0.7
Denver,Target Denver T-2820,39.654476165771484,-104.90013885498047,18946-177247,7777 E. Hampden Ave,80231,CO,US,LS,9193-151286,1.2
Chula Vista,Bonita Road & Plaza Bonita,32.64830017089844,-117.05870056152344,19657-201526,"3047 Bonita Road, 108",91910,CA,US,CO,2922-211104,1.0
Newport Beach,MacArthur & Bison,33.637367248535156,-117.862060546875,19803-200205,1260 Bison Avenue,92660,CA,US,CO,6448-38159,0.8
Rosemont,Fashion Outlets of Chicago,41.97544860839844,-87.8678207397461,20748-203824,"5220 Fashion Outlets Way, Suite 8120",60018,IL,US,CO,26705-235926,0.7
Lawrenceville,Quaker Bridge,40.290523529052734,-74.68186950683594,19504-106919,"150 Quaker Bridge Mall RD, 2026, Quaker Bridge Mall",08648,NJ,US,CO,7309-980,0.8
Chicago,Southport & Roscoe,41.943546295166016,-87.66411590576172,231-174564,3400 N. Southport Ave.,606571420,IL,US,CO,2223-653,0.6
Gilbert,Santan Village Pkwy & Loop 202,33.29756546020508,-111.74372863769531,19282-181688,2882 South San Tan Village,85296,AZ,US,CO,28560-250158,1.5
Mililani,Mililani Mauka - Ainamakua Dr,21.4681339263916,-158.0014190673828,19691-197724,"95-1059 AINAMAKUA DR., Building G",96789,HI,US,CO,21046-54640,1.9
South Boston,South Boston/ West Broadway T,42.342552185058594,-71.0568618774414,16764-160204,11 West Broadway street,02127,MA,US,CO,78025-103254,0.9
Dubuque,Hy-Vee 1 @ Dubuque,42.491939544677734,-90.72077941894531,17826-170649,3500 Dodge St,52003,IA,US,LS,72932-93905,3.2
Hurst,Hwy 183 & Precinct,32.83861541748047,-97.18576049804688,18878-165485,1498 Precinct Line,76053,TX,US,CO,72187-20781,0.3
San Diego,SAN Terminal 2 East,32.72945022583008,-117.19921875,19413-193607,3707 N Harbor Drive,92101,CA,US,LS,19412-194024,0.0
Seattle,Broadway & E Pike St,47.61422348022461,-122.32098388671875,19468-196585,824 E Pike St,98122,WA,US,CO,72922-95925,0.1
Los Angeles,Ralphs Los Angeles #210,34.034706115722656,-118.44901275634766,18381-179547,11727 W Olympic Blvd,90064,CA,US,LS,5337-1197,0.8
Surfside,9560 Harding Ave,25.886381149291992,-80.12381744384766,19090-195125,9560 Harding Avenue,33154,FL,US,CO,23389-148984,3.3
Lumberton,I-95 & Fayetteville Rd - Lumberton,34.665733337402344,-79.00679779052734,19348-136169,5084 Kahn Drive,28358,NC,US,CO,15952-159190,18.3
